head_node	edge_relation 	head_node edge_relation /r/Antonymhead ofnode edge
guatemala	/r/IsA 	guatemala /r/IsAprocess
ghana	/r/IsA 	ghana /r/IsAhistorical material
cameroon	/r/IsA 	cameroon /r/IsAgeographical object
japanese	/r/IsA 	japanese /r/IsAmusical group
taiwanese	/r/IsA 	taiwanese /r/IsAanatomical territorial entity
bengali	/r/IsA 	bengali /r/IsAartistic concept
nepal	/r/IsA 	nepal /r/IsAnatural resource
albanian	/r/IsA 	albanian /r/IsAcabinet
albania	/r/IsA 	albania /r/IsAbanned
columbian	/r/IsA 	columbian /r/IsAgeographical object
peruvian	/r/IsA 	peruvian /r/IsAspecialty
argentian	/r/IsA 	argentian /r/IsAsociological term
spain	/r/IsA 	spain /r/IsAprocess
paraguay	/r/IsA 	paraguay /r/IsAadministration
ethiopian	/r/IsA 	ethiopian /r/IsAanimal type
egyptian	/r/IsA 	egyptian /r/IsAacademic title
persian people	/r/IsA 	persian people /r/IsApersonage
sweden	/r/IsA 	sweden /r/IsAnorthernmost country
crimea	/r/IsA 	crimea /r/IsAcousin
portuguese	/r/IsA 	portuguese /r/IsAportrait
argentina	/r/IsA 	argentina /r/IsApara, geology terminology
chile	/r/IsA 	chile /r/IsAfood ingredient
cape verdean	/r/IsA 	cape verdean /r/IsAart material
turkish	/r/IsA 	turkish /r/IsAturkish ideology
yemeni	/r/IsA 	yemeni /r/IsAsynthetic name
taiwan	/r/IsA 	taiwan /r/IsAgroup of organisms known by one particular common name
austrian	/r/IsA 	austrian /r/IsAsemiconductor manufacturer
white people	/r/IsA 	white people /r/IsAethnic group
finland	/r/IsA 	finland /r/IsAeconomic concept
australia	/r/IsA 	australia /r/IsAcrest
south african	/r/IsA 	south african /r/IsAanatomical line
eriteria	/r/IsA 	eriteria /r/IsAeconomic concept
egypt	/r/IsA 	egypt /r/IsAtertiary planet
korean	/r/IsA 	korean /r/IsAclothing item
dutch people	/r/IsA 	dutch people /r/IsAoccupation
peru	/r/IsA 	peru /r/IsAoccupation
poland	/r/IsA 	poland /r/IsAeconomic concept
chilean	/r/IsA 	chilean /r/IsAgland
columbia	/r/IsA 	columbia /r/IsAsocial group
bolivia	/r/IsA 	bolivia /r/IsAeconomic indicator
laotian	/r/IsA 	laotian /r/IsAoccupation
lebanese	/r/IsA 	lebanese /r/IsAgroup of organisms known by one particular common name
japan	/r/IsA 	japan /r/IsAcandy
norway	/r/IsA 	norway /r/IsAsubmarine component
cape verde	/r/IsA 	cape verde /r/IsAvocal music
portugal	/r/IsA 	portugal /r/IsAgeographical object
austria	/r/IsA 	austria /r/IsAbend
singaporean	/r/IsA 	singaporean /r/IsAcivil society organisation
netherlands	/r/IsA 	netherlands /r/IsAgeographic object
she	/r/IsA 	she /r/IsAfigure skating rink
he	/r/IsA 	he /r/IsAdevice
hers	/r/IsA 	hers /r/IsAsocial worker
him	/r/IsA 	him /r/IsAfictional character
her	/r/IsA 	her /r/IsAhuman entity
herself	/r/IsA 	herself /r/IsAoccupation
himself	/r/IsA 	himself /r/IsAperson, entity, concept, or process
his	/r/IsA 	his /r/IsAposition
woman	/r/IsA 	woman /r/IsAwomen\'s rights activist
man	/r/IsA 	man /r/IsAhuman character
female	/r/IsA 	female /r/IsAmale
male	/r/IsA 	male /r/IsAfictional human
lady	/r/IsA 	lady /r/IsAhuman figure
gentleman	/r/IsA 	gentleman /r/IsAoccupation
ladies	/r/IsA 	ladies /r/IsAhuman being
gentlemen	/r/IsA 	gentlemen /r/IsAmuseum worker
girl	/r/IsA 	girl /r/IsAmale human
boy	/r/IsA 	boy /r/IsAoccupation
sir	/r/IsA 	sir /r/IsAname
ma am	/r/IsA 	ma am /r/IsAname of an entity
mother	/r/IsA 	mother /r/IsAoccupation
father	/r/IsA 	father /r/IsAfictional human
stepmother	/r/IsA 	stepmother /r/IsAfemale human
stepfather	/r/IsA 	stepfather /r/IsAchildcare
daughter	/r/IsA 	daughter /r/IsAposition
son	/r/IsA 	son /r/IsAcharacter
sister	/r/IsA 	sister /r/IsAadolescent
brother	/r/IsA 	brother /r/IsAcoupling
grandmother	/r/IsA 	grandmother /r/IsAgrandchild
grandfather	/r/IsA 	grandfather /r/IsAgrandchild
mommy	/r/IsA 	mommy /r/IsAperson of the character
daddy	/r/IsA 	daddy /r/IsAfictional entity
wife	/r/IsA 	wife /r/IsAhuman figure
husband	/r/IsA 	husband /r/IsAname
bride	/r/IsA 	bride /r/IsAbride
groom	/r/IsA 	groom /r/IsAanimal species
girlfriend	/r/IsA 	girlfriend /r/IsAcousin
boyfriend	/r/IsA 	boyfriend /r/IsAconsception
schoolgirl	/r/IsA 	schoolgirl /r/IsAfilm personality
schoolboy	/r/IsA 	schoolboy /r/IsAfictional human
sharia	/r/IsA 	sharia /r/IsAreligious concept
jihad	/r/IsA 	jihad /r/IsAjihad
christian	/r/IsA 	christian /r/IsAdeity
muslim	/r/IsA 	muslim /r/IsAmusical profession
islam	/r/IsA 	islam /r/IsAeconomic concept
hindu	/r/IsA 	hindu /r/IsAcultural identity
mohammed	/r/IsA 	mohammed /r/IsAoccupation
church	/r/IsA 	church /r/IsAmilitary unit type-size class
quran	/r/IsA 	quran /r/IsAreligious figure
bible	/r/IsA 	bible /r/IsAbiblical figure
brahmin	/r/IsA 	brahmin /r/IsAcharacter type
holy trinity	/r/IsA 	holy trinity /r/IsAreligious concept
barber	/r/IsA 	barber /r/IsAbarber
coach	/r/IsA 	coach /r/IsAtool
businessperson	/r/IsA 	businessperson /r/IsAjob type
football player	/r/IsA 	football player /r/IsAoccupation
construction worker	/r/IsA 	construction worker /r/IsAconstruction worker
manager	/r/IsA 	manager /r/IsAidentifier
ceo	/r/IsA 	ceo /r/IsAmilitary unit type-size class
accountant	/r/IsA 	accountant /r/IsAaccountant
commander	/r/IsA 	commander /r/IsAposition
firefighter	/r/IsA 	firefighter /r/IsAmilitary rank
mover	/r/IsA 	mover /r/IsAmilitary rank
software developer	/r/IsA 	software developer /r/IsAsoftware developer
guard	/r/IsA 	guard /r/IsAoccupation
baker	/r/IsA 	baker /r/IsAfood ingredient
doctor	/r/IsA 	doctor /r/IsAoccupation
athlete	/r/IsA 	athlete /r/IsAaccident
artist	/r/IsA 	artist /r/IsAart term
dancer	/r/IsA 	dancer /r/IsAoccupation
mathematician	/r/IsA 	mathematician /r/IsAtechnical person
janitor	/r/IsA 	janitor /r/IsAtennis character
carpenter	/r/IsA 	carpenter /r/IsAarchitectural structure
mechanic	/r/IsA 	mechanic /r/IsAposition
actor	/r/IsA 	actor /r/IsAoccupation
handyman	/r/IsA 	handyman /r/IsAmeester
musician	/r/IsA 	musician /r/IsAmusical profession
detective	/r/IsA 	detective /r/IsAcriminal
politician	/r/IsA 	politician /r/IsApolitical candidate
entrepreneur	/r/IsA 	entrepreneur /r/IsAfictional human
model	/r/IsA 	model /r/IsAtextile product
opera singer	/r/IsA 	opera singer /r/IsAoccupation
chief	/r/IsA 	chief /r/IsAoccupation
lawyer	/r/IsA 	lawyer /r/IsAoccupation
farmer	/r/IsA 	farmer /r/IsAgeographic title
writer	/r/IsA 	writer /r/IsAfilm character
librarian	/r/IsA 	librarian /r/IsAoccupation
army	/r/IsA 	army /r/IsAoccupation
real estate developer	/r/IsA 	real estate developer /r/IsAposition
broker	/r/IsA 	broker /r/IsAbroker
scientist	/r/IsA 	scientist /r/IsAscientific researcher
butcher	/r/IsA 	butcher /r/IsAoccupation
electrician	/r/IsA 	electrician /r/IsAoccupation
prosecutor	/r/IsA 	prosecutor /r/IsAposition
banker	/r/IsA 	banker /r/IsAoccupation
cook	/r/IsA 	cook /r/IsAconventional weapon
hairdresser	/r/IsA 	hairdresser /r/IsAsnowflake
prisoner	/r/IsA 	prisoner /r/IsAperson
plumber	/r/IsA 	plumber /r/IsAposition
attorney	/r/IsA 	attorney /r/IsAlegal associate
boxer	/r/IsA 	boxer /r/IsAposition
chess player	/r/IsA 	chess player /r/IsAcombat trainer
priest	/r/IsA 	priest /r/IsAoccupation
swimmer	/r/IsA 	swimmer /r/IsAoccupation
tennis player	/r/IsA 	tennis player /r/IsAfictional character
supervisor	/r/IsA 	supervisor /r/IsAsupervisor
attendant	/r/IsA 	attendant /r/IsAperson
housekeeper	/r/IsA 	housekeeper /r/IsAoccupation
maid	/r/IsA 	maid /r/IsAservant
producer	/r/IsA 	producer /r/IsAposition
researcher	/r/IsA 	researcher /r/IsAscholarly article
midwife	/r/IsA 	midwife /r/IsAfictional human
judge	/r/IsA 	judge /r/IsAposition
umpire	/r/IsA 	umpire /r/IsAmachine element
bartender	/r/IsA 	bartender /r/IsAoccupation
economist	/r/IsA 	economist /r/IsAoccupation
physicist	/r/IsA 	physicist /r/IsAspecialist
psychologist	/r/IsA 	psychologist /r/IsApsychologist
theologian	/r/IsA 	theologian /r/IsAoccupation
salesperson	/r/IsA 	salesperson /r/IsAperson
physician	/r/IsA 	physician /r/IsAoccupation
sheriff	/r/IsA 	sheriff /r/IsAposition
cashier	/r/IsA 	cashier /r/IsAaccount
assistant	/r/IsA 	assistant /r/IsAposition
receptionist	/r/IsA 	receptionist /r/IsAfilm crew member
editor	/r/IsA 	editor /r/IsAoccupant
engineer	/r/IsA 	engineer /r/IsAengine builder
comedian	/r/IsA 	comedian /r/IsApublic figure
painter	/r/IsA 	painter /r/IsAoccupation
civil servant	/r/IsA 	civil servant /r/IsAcivil service
diplomat	/r/IsA 	diplomat /r/IsAposition
guitarist	/r/IsA 	guitarist /r/IsAoccupation
linguist	/r/IsA 	linguist /r/IsAeducator
poet	/r/IsA 	poet /r/IsAoccupation
laborer	/r/IsA 	laborer /r/IsAlaborer
teacher	/r/IsA 	teacher /r/IsAoccupation
delivery man	/r/IsA 	delivery man /r/IsAmedical technician
realtor	/r/IsA 	realtor /r/IsAoccupation
pilot	/r/IsA 	pilot /r/IsAmanual operator
professor	/r/IsA 	professor /r/IsAposition
chemist	/r/IsA 	chemist /r/IsAarchitectural element
historian	/r/IsA 	historian /r/IsAhistorian
pensioner	/r/IsA 	pensioner /r/IsApensioner
performing artist	/r/IsA 	performing artist /r/IsAtheatrical profession
singer	/r/IsA 	singer /r/IsAposition
secretary	/r/IsA 	secretary /r/IsAconsultant
auditor	/r/IsA 	auditor /r/IsAadvisor
counselor	/r/IsA 	counselor /r/IsAoccupation
designer	/r/IsA 	designer /r/IsAoccupation
soldier	/r/IsA 	soldier /r/IsAoccupation
journalist	/r/IsA 	journalist /r/IsAjournalist
dentist	/r/IsA 	dentist /r/IsAoccupation
analyst	/r/IsA 	analyst /r/IsAanalytic term
nurse	/r/IsA 	nurse /r/IsAhealth professional
tailor	/r/IsA 	tailor /r/IsAposition
waiter	/r/IsA 	waiter /r/IsAoccupation
author	/r/IsA 	author /r/IsAtitle
architect	/r/IsA 	architect /r/IsAoccupation
academic	/r/IsA 	academic /r/IsAacademic
director	/r/IsA 	director /r/IsAposition
illustrator	/r/IsA 	illustrator /r/IsAartistic profession
clerk	/r/IsA 	clerk /r/IsASynonym
policeman	/r/IsA 	policeman /r/IsAposition
chef	/r/IsA 	chef /r/IsAoccupation
photographer	/r/IsA 	photographer /r/IsAphotography profession
drawer	/r/IsA 	drawer /r/IsAhand
cleaner	/r/IsA 	cleaner /r/IsAoccupation
pharmacist	/r/IsA 	pharmacist /r/IsAoccupation
pianist	/r/IsA 	pianist /r/IsAposition
composer	/r/IsA 	composer /r/IsAship element
handball player	/r/IsA 	handball player /r/IsAtool
sociologist	/r/IsA 	sociologist /r/IsAoccupation
african american	/r/RelatedTo 	african american /r/RelatedToindigenous country
armenian	/r/RelatedTo 	armenian /r/RelatedTodilemma
persian	/r/RelatedTo 	persian /r/RelatedTobirth control
american	/r/RelatedTo 	american /r/RelatedToamerican
filipino	/r/RelatedTo 	filipino /r/RelatedTofilipino sauce
english	/r/RelatedTo 	english /r/RelatedTomilitary rank
norwegian	/r/RelatedTo 	norwegian /r/RelatedTonoise
dutch	/r/RelatedTo 	dutch /r/RelatedTodutch
israeli	/r/RelatedTo 	israeli /r/RelatedTopolitical leader
nigerian	/r/RelatedTo 	nigerian /r/RelatedTonigga
ethiopia	/r/RelatedTo 	ethiopia /r/RelatedTocannibal
europe	/r/RelatedTo 	europe /r/RelatedTocricket
european	/r/RelatedTo 	european /r/RelatedToeuropean republic
russian	/r/RelatedTo 	russian /r/RelatedTobondage
ukraine	/r/RelatedTo 	ukraine /r/RelatedTocotton
sudan	/r/RelatedTo 	sudan /r/RelatedToprairie
afghanistan	/r/RelatedTo 	afghanistan /r/RelatedToflooded country
iraq	/r/RelatedTo 	iraq /r/RelatedTofood ingredient
yemen	/r/RelatedTo 	yemen /r/RelatedTowomen\'s sports
ukrainian	/r/RelatedTo 	ukrainian /r/RelatedTobibliography
russia	/r/RelatedTo 	russia /r/RelatedToscholarly article
italy	/r/RelatedTo 	italy /r/RelatedTomusical composition
somali	/r/RelatedTo 	somali /r/RelatedToyouth
iran	/r/RelatedTo 	iran /r/RelatedToanimal culture
afghan	/r/RelatedTo 	afghan /r/RelatedTocoupling
indian	/r/RelatedTo 	indian /r/RelatedToindian country
italian	/r/RelatedTo 	italian /r/RelatedTogarden building
australian	/r/RelatedTo 	australian /r/RelatedToposterior terminal of free nasal bone
spanish	/r/RelatedTo 	spanish /r/RelatedTospeaker
guatemalan	/r/RelatedTo 	guatemalan /r/RelatedToguarâguarantee
hispanic	/r/RelatedTo 	hispanic /r/RelatedTosyndrome
venezuela	/r/RelatedTo 	venezuela /r/RelatedTofood and drink with cheese
sudanese	/r/RelatedTo 	sudanese /r/RelatedTosmog
oman	/r/RelatedTo 	oman /r/RelatedTooccupation
finnish	/r/RelatedTo 	finnish /r/RelatedTofolk
swedish	/r/RelatedTo 	swedish /r/RelatedTochoreography
venezuelan	/r/RelatedTo 	venezuelan /r/RelatedToscholarly article
puerto rican	/r/RelatedTo 	puerto rican /r/RelatedTopiano duo
ghanaian	/r/RelatedTo 	ghanaian /r/RelatedTogulfic sugar substitute
moroccan	/r/RelatedTo 	moroccan /r/RelatedTonatural hair
somalia	/r/RelatedTo 	somalia /r/RelatedTosharitanical region
saudi arabian	/r/RelatedTo 	saudi arabian /r/RelatedTomusic genre
syria	/r/RelatedTo 	syria /r/RelatedTosyrian language
chinese	/r/RelatedTo 	chinese /r/RelatedTochinese food
pakistani	/r/RelatedTo 	pakistani /r/RelatedTobarbarbaric language
china	/r/RelatedTo 	china /r/RelatedToheritage site
india	/r/RelatedTo 	india /r/RelatedToindigenous language
irish	/r/RelatedTo 	irish /r/RelatedToanimal rights movement
britain	/r/RelatedTo 	britain /r/RelatedTochicken dish
france	/r/RelatedTo 	france /r/RelatedTolegal relationship
greece	/r/RelatedTo 	greece /r/RelatedTogeographical region
scotland	/r/RelatedTo 	scotland /r/RelatedToanatomical zone
mexican	/r/RelatedTo 	mexican /r/RelatedTocinnamon syrup
paraguayan	/r/RelatedTo 	paraguayan /r/RelatedToparaguay
brazil	/r/RelatedTo 	brazil /r/RelatedTocolor
african	/r/RelatedTo 	african /r/RelatedTofelony
eritrean	/r/RelatedTo 	eritrean /r/RelatedToartistic theme
sierra leonean	/r/RelatedTo 	sierra leonean /r/RelatedToleonesa
africa	/r/RelatedTo 	africa /r/RelatedToafrican country
jordan	/r/RelatedTo 	jordan /r/RelatedToreligious book
indonesia	/r/RelatedTo 	indonesia /r/RelatedToindonesian language
vietnam	/r/RelatedTo 	vietnam /r/RelatedTodietary supplement
pakistan	/r/RelatedTo 	pakistan /r/RelatedTosoutheast
german	/r/RelatedTo 	german /r/RelatedTofarm-raised farmer
romania	/r/RelatedTo 	romania /r/RelatedToromantic fiction
brazilian	/r/RelatedTo 	brazilian /r/RelatedTodrama television series
ecuadorian	/r/RelatedTo 	ecuadorian /r/RelatedToexclusion
mexico	/r/RelatedTo 	mexico /r/RelatedTomexy
puerto rico	/r/RelatedTo 	puerto rico /r/RelatedTopiano music
kenyan	/r/RelatedTo 	kenyan /r/RelatedTonomenclature
liberian	/r/RelatedTo 	liberian /r/RelatedToposition
cameroonian	/r/RelatedTo 	cameroonian /r/RelatedTobenevolent entity
african americans	/r/RelatedTo 	african americans /r/RelatedTogroup of fictional characters
kenya	/r/RelatedTo 	kenya /r/RelatedTokem /r/scholarly article
liberia	/r/RelatedTo 	liberia /r/RelatedTolibertarian nationalism
sierra leon	/r/RelatedTo 	sierra leon /r/RelatedTosierra
qatari	/r/RelatedTo 	qatari /r/RelatedToquasi-symbol
syrian	/r/RelatedTo 	syrian /r/RelatedTosyrian-run network
arab	/r/RelatedTo 	arab /r/RelatedTomusical theater genre
saudi arabia	/r/RelatedTo 	saudi arabia /r/RelatedTosaudi arabia
lebanon	/r/RelatedTo 	lebanon /r/RelatedTolebanon juice
indonesian	/r/RelatedTo 	indonesian /r/RelatedToindonesian language
french	/r/RelatedTo 	french /r/RelatedTogarden decoration
norwegian	/r/RelatedTo 	norwegian /r/RelatedTovoting system
south africa	/r/RelatedTo 	south africa /r/RelatedTosouth pole
jordanian	/r/RelatedTo 	jordanian /r/RelatedTojordanian dress
korea	/r/RelatedTo 	korea /r/RelatedTopoultry breeding
singapore	/r/RelatedTo 	singapore /r/RelatedTosingapore region
romanian	/r/RelatedTo 	romanian /r/RelatedTogoth
crimean	/r/RelatedTo 	crimean /r/RelatedTomurder
native american	/r/RelatedTo 	native american /r/RelatedTocitizen
germany	/r/RelatedTo 	germany /r/RelatedTogarden building
ireland	/r/RelatedTo 	ireland /r/RelatedToland system and territorial entity
ecuador	/r/RelatedTo 	ecuador /r/RelatedToceremonial church
morocco	/r/RelatedTo 	morocco /r/RelatedTopsychology terminology
omani	/r/RelatedTo 	omani /r/RelatedTofisher
iranian	/r/RelatedTo 	iranian /r/RelatedTomixed-sex relationship
iraqi	/r/RelatedTo 	iraqi /r/RelatedTomarshal training
qatar	/r/RelatedTo 	qatar /r/RelatedTosports attire
turkey	/r/RelatedTo 	turkey /r/RelatedToshrimp pie
vietnamese	/r/RelatedTo 	vietnamese /r/RelatedToaviation engineer
nepali	/r/RelatedTo 	nepali /r/RelatedTonon-nepal
laos	/r/RelatedTo 	laos /r/RelatedTomotorcycle sport
bangladesh	/r/RelatedTo 	bangladesh /r/RelatedTobronze
british	/r/RelatedTo 	british /r/RelatedTobritish union
polish	/r/RelatedTo 	polish /r/RelatedToproper terminology
greek	/r/RelatedTo 	greek /r/RelatedTogrammar
scottish	/r/RelatedTo 	scottish /r/RelatedTocrestal
bolivian	/r/RelatedTo 	bolivian /r/RelatedToalpine
guatemala	/r/RelatedTo 	guatemala /r/RelatedTochess terminology
ghana	/r/RelatedTo 	ghana /r/RelatedTobrown rice
cameroon	/r/RelatedTo 	cameroon /r/RelatedTocameroon-like geographic object
japanese	/r/RelatedTo 	japanese /r/RelatedTogroup of organisms known by one particular common name
taiwanese	/r/RelatedTo 	taiwanese /r/RelatedTotaiwanese
bengali	/r/RelatedTo 	bengali /r/RelatedTobdi
nepal	/r/RelatedTo 	nepal /r/RelatedTosemiconductor processing industry
albanian	/r/RelatedTo 	albanian /r/RelatedTobiblical occupation
albania	/r/RelatedTo 	albania /r/RelatedTosoutheast Asia
columbian	/r/RelatedTo 	columbian /r/RelatedTocricket
peruvian	/r/RelatedTo 	peruvian /r/RelatedToperuvian culture
argentian	/r/RelatedTo 	argentian /r/RelatedTomilitary rank
spain	/r/RelatedTo 	spain /r/RelatedTospare part of external body organism
paraguay	/r/RelatedTo 	paraguay /r/RelatedToplunge
ethiopian	/r/RelatedTo 	ethiopian /r/RelatedTohuman population
egyptian	/r/RelatedTo 	egyptian /r/RelatedToisland
persian people	/r/RelatedTo 	persian people /r/RelatedTopersians
sweden	/r/RelatedTo 	sweden /r/RelatedToship type
crimea	/r/RelatedTo 	crimea /r/RelatedTocrime
portuguese	/r/RelatedTo 	portuguese /r/RelatedToportuguese language type
argentina	/r/RelatedTo 	argentina /r/RelatedTomarching
chile	/r/RelatedTo 	chile /r/RelatedTodessert
cape verdean	/r/RelatedTo 	cape verdean /r/RelatedTovisual novel
turkish	/r/RelatedTo 	turkish /r/RelatedTosyrup allergy
yemeni	/r/RelatedTo 	yemeni /r/RelatedTosemi-nude
taiwan	/r/RelatedTo 	taiwan /r/RelatedTochili bread
austrian	/r/RelatedTo 	austrian /r/RelatedToathletic sport
white people	/r/RelatedTo 	white people /r/RelatedTowhite people
finland	/r/RelatedTo 	finland /r/RelatedToland conservation
australia	/r/RelatedTo 	australia /r/RelatedTobicycle-sharing
south african	/r/RelatedTo 	south african /r/RelatedToblack people
eriteria	/r/RelatedTo 	eriteria /r/RelatedToemotion
egypt	/r/RelatedTo 	egypt /r/RelatedTourban legend
korean	/r/RelatedTo 	korean /r/RelatedTojapanese language
dutch people	/r/RelatedTo 	dutch people /r/RelatedTodutch
peru	/r/RelatedTo 	peru /r/RelatedToscholarly article
poland	/r/RelatedTo 	poland /r/RelatedToartistic theme
chilean	/r/RelatedTo 	chilean /r/RelatedTopara-chilean
columbia	/r/RelatedTo 	columbia /r/RelatedTocolumbia
bolivia	/r/RelatedTo 	bolivia /r/RelatedTocoastal town
laotian	/r/RelatedTo 	laotian /r/RelatedTolabor federation
lebanese	/r/RelatedTo 	lebanese /r/RelatedTocut of lamb
japan	/r/RelatedTo 	japan /r/RelatedTojapanese language
norway	/r/RelatedTo 	norway /r/RelatedTosubdivision of landscape
cape verde	/r/RelatedTo 	cape verde /r/RelatedTofaux graphics
portugal	/r/RelatedTo 	portugal /r/RelatedToconstitution
austria	/r/RelatedTo 	austria /r/RelatedTotorture poisoning
singaporean	/r/RelatedTo 	singaporean /r/RelatedTosingaporean song
netherlands	/r/RelatedTo 	netherlands /r/RelatedTonorthern hemisphere
she	/r/RelatedTo 	she /r/RelatedTocrate
he	/r/RelatedTo 	he /r/RelatedTojazz musician
hers	/r/RelatedTo 	hers /r/RelatedToarchitectural style
